No;Title
1005;Bangun Flyover di Perlintasan Sebidang, PUPR Siapkan Rp 10 Triliun
1006;Dalam APBN 2019, Kementerian PUPR menganggarkan Rp 10 triliun untuk membangun flyover di perlintasan sebidang.
1007;kumparanBISNIS
1008;4 Juli 2018
1009;BI Bebaskan DP KPR, Target Program Sejuta Rumah Bisa Tercapai
1010;Di tahun 2017, realisasi program sejuta rumah mencapai 904.758 unit.
1011;kumparanBISNIS
1012;3 Juli 2018
1013;Jalan Aspal di Cilegon Ini Terbuat dari Campuran 3 Ton Sampah Plastik
1014;Aspal plastik yang digelar di atas area seluas 6.372 m2 terbuat dari bahan aspal biasa dengan campuran 3 ton sampah.
1015;kumparanBISNIS
1016;3 Juli 2018
1017;Jokowi Tinjau Irigasi Sawah di Wajo, Sulawesi Selatan
1018;Jokowi berharap dengan irigasi yang baik dapat meningkatkan produksi pertanian.
1019;kumparanNEWS
1020;3 Juli 2018
1021;KPK Tetapkan Tersangka ke-12 Kasus Korupsi Proyek Kementerian PUPR
1022;Tersangka baru itu adalah Direktur dan Komisaris PT Sharleen Raya (JECO Gorup), Hong Arta John Alfred.
1023;kumparanNEWS
1024;2 Juli 2018
1025;13 Tol di Jawa dan Sumatera Akan Diresmikan di 2018, Berikut Daftarnya
1026;Sejauh ini baru 4 tol yang telah diresmikan, mulai bulan Januari 2018 hingga 22 Juni 2018 lalu.
1027;kumparanBISNIS
1028;30 Juni 2018
1029;Perbaikan Pedestrian Sudirman Jelang Perhelatan Asian Games
1030;Jalur pedestrian di sepanjang Jalan MH Thamrin-Sudirman dipercantik demi perhelatan Asian Games. 
1031;kumparanNEWS
1032;28 Juni 2018
1033;Segera Dioperasikan, Tol Pemalang-Pekalongan Akan Diuji Laik Fungsi
1034;Proses uji laik fungsi Tol Pemalang-Batang seksi 1 tidak akan memakan waktu lama.
1035;kumparanBISNIS
1036;26 Juni 2018
1037;Proyek 4 Ruas Tol Milik Jasa Marga Ditargetkan Rampung Tahun Ini
1038;Ke-4 ruas tol tersebut sudah beroperasi secara fungsional pada momen Lebaran kemarin.
1039;kumparanBISNIS
1040;26 Juni 2018
1041;Dirjen PUPR Dijambret, Anies Akan Perhatikan Keamanan di Tempat Ramai
1042;Anies memastikan akan memperhatikan keamanan di tempat ramai usai insiden perampokan yang dialami Dirjen PUPR.
1043;kumparanNEWS
1044;25 Juni 2018
1045;Ponsel Dijambret Saat Bersepeda di Kota Tua, Dirjen PUPR Patah Tulang
1046;Akibat insiden itu, Syarif Burhanuddin dilarikan ke RS Medistra Jakarta dan segera menjalani operasi di bahu kirinya.
1047;kumparanNEWS
1048;25 Juni 2018
1049;Dirjen Bina Konstruksi PUPR Dijambret Saat Bersepeda di Kota Tua
1050;Syarief mengalami luka parah dan harus menjalani perawatan di RS Medistra Jakarta Selatan.
1051;kumparanNEWS
1052;25 Juni 2018
1053;Pembangunan Tol Yogyakarta-Bawen Sepanjang 71 Km Dimulai Tahun Depan
1054;Saat ini akan dibuat dokumen penetapan lokasi Tol Yogyakarta-Bawen untuk keperluan pengadaan tanah.
1055;kumparanBISNIS
1056;25 Juni 2018
1057;Hingga Akhir Tahun, 6 Ruas Tol di Jawa dan Sumatera Siap Diresmikan
1058;Terdapat 6 ruas tol di Jawa dan Sumatera yang akan diresmikan mulai Juli hingga akhir Desember 2018 mendatang.
1059;kumparanBISNIS
1060;25 Juni 2018
1061;Menteri PUPR: Integrasi Tarif Tol JORR Akan Diberlakukan Secepatnya
1062;Kementerian PUPR menargetkan integrasi tarif tol bisa diberlakukan dalam sepekan ini.
1063;kumparanBISNIS
1064;25 Juni 2018
1065;Menteri PUPR Kaji Beri Diskon ke Pengguna Jarak Pendek di Tol JORR
1066;Menteri PUPR, Basuki Hadimuljono, mengakui integrasi tarif tol JORR akan merugikan pengguna tol jarak pendek.
1067;kumparanBISNIS
1068;25 Juni 2018
1069;Tak Hanya Tol JORR, Tarif Tol di 3 Kota Ini Juga Akan Diseragamkan
1070;Kebijakan integrasi tarif tol rencananya juga akan diterapkan di Tol Surabaya, Tol Medan, serta Tol Makassar.
1071;kumparanBISNIS
1072;21 Juni 2018
1073;PUPR: Penyeragaman Tarif Tol JORR Bukan Kenaikan Terselubung
1074;Apabila pendapatan BUJT naik ketika tarif Tol JORR diseragamkan, maka akan dikembalikan ke masyarakat.
1075;kumparanBISNIS
1076;21 Juni 2018
1077;Gelar Halalbihalal, Menteri PUPR Hibur Pegawainya dengan Lagu Dangdut
1078;Bersama penyanyi senior Ikang Fawzi, Menteri PUPR Basuki Hadimuljono menghibur para pegawainya saat halalbihalal.
1079;kumparanBISNIS
1080;21 Juni 2018
1081;PUPR: Sertifikasi Pekerja Konstruksi Harus Jadi Syarat Kontrak Proyek
1082;Sertifikasi pekerja konstruksi saat ini hanya baru menjadi syarat ikut lelang proyek.
1083;kumparanBISNIS
1084;21 Juni 2018
1085;PUPR Telah Lakukan Penyederhanaan Golongan Kendaraan di 3 Ruas Tol
1086;Golongan tol disederhanakan dari sebelumnya lima menjadi hanya tiga golongan kendaraan.
1087;kumparanBISNIS
1088;20 Juni 2018
1089;Ditunda di Tol JORR, Penyederhanaan Golongan Tarif Berlaku di Tol Lain
1090;Dari semula ada 5 penggolongan tarif kendaraan di tol, disederhanakan menjadi 3 golongan saja.
1091;kumparanBISNIS
1092;20 Juni 2018
1093;Banyak Diprotes, Penyeragaman Tarif Tol JORR Tak Jadi Dimulai Besok
1094;Kementerian PUPR menunda penerapan integrasi tarif tol JORR. Perlu sosialisasi kepada masyarakat.
1095;kumparanBISNIS
1096;19 Juni 2018
1097;Kementerian PUPR Tambah 5 Rest Area di Tol Pejagan-Batang
1098;Jumlah rest area di Tol Pejagan-Batang saat arus balik lebaran menjadi 11 lokasi.
1099;kumparanBISNIS
1100;18 Juni 2018
1101;4 Fakta soal Tarif Tol JORR yang Diseragamkan Per 13 Juni 2018
1102;Tarif tol JORR akan diintegrasikan mulai 13 Juni 2018. Tarif tol yang dikenakan untuk jarak pendek atau jauh akan sama.
1103;kumparanBISNIS
1104;12 Juni 2018
1105;Pemerintah Berencana Hilangkan Gerbang Tol Cikarang Utama
1106;Pembongkaran dilakukan mempertimbangkan dengan pengoperasian Tol Jakarta-Cikampek Elevated II jika selesai dibangun.
1107;kumparanBISNIS
1108;11 Juni 2018
1109;Setelah Semarang dan Jakarta, Tol Surabaya Dikaji Berlakukan Integrasi
1110;Tol pertama yang memberlakukan sistem integrasi tarif adalah Semarang A, B, C.
1111;kumparanBISNIS
1112;11 Juni 2018
1113;Penyaluran KPR Bersubsidi per 7 Juni 2018 Baru 19%
1114;Kementerian PUPR telah menyalurkan KPR bersubsidi ke 8.088 rumah murah per 7 Juni 2018.
1115;kumparanBISNIS
1116;11 Juni 2018
1117;Puncak Arus Mudik Lebaran Jilid II Diprediksi 12 dan 13 Juni
1118;Untuk menghindari kemacetan, pemudik juga disarankan menggunakan Jalan Nasional Pantura.
1119;kumparanNEWS
1120;11 Juni 2018
1121;PUPR Jamin Kemiringan Jalan di Jembatan Kali Kenteng Aman
1122;Jembatan Kali Kenteng berada di ruas jalan fungsional Salatiga-Kartasura.
1123;kumparanNEWS
1124;10 Juni 2018
1125;5 Hal yang Perlu Diketahui Pemudik Sebelum Melintasi Tol Bocimi
1126;Tol Bocimi akan dijadikan jalur fungsional untuk arus mudik Lebaran 2018. Jalur ini akan beroperasi pukul 14.00 WIB.
1127;kumparanNEWS
1128;8 Juni 2018
1129;Polisi dan Petugas Medis Disiagakan di Tol Bocimi Seksi I Selama Mudik
1130;Kapores Bogor AKBP Andy M Dicky mengimbau agar pengendara berhati-hati melintas, mengingat tol itu masih belum sempurna.
1131;kumparanNEWS
1132;8 Juni 2018
1133;Melihat Tol Bocimi Seksi I yang Siap Dilintasi
1134;Ruas tol sepanjang 15,35 kilometer ini akan digunakan sebagai jalur tol fungsional, Jumat (8/6) pukul 14.00 WIB.
1135;kumparanNEWS
1136;8 Juni 2018
1137;Menteri PUPR: Kecepatan Maksimal Mobil Lewat Tol Fungsional 60 Km/Jam
1138;Ada 5 ruas Tol Trans Jawa yang beroperasi secara fungsional pada momen mudik Lebaran tahun ini.
1139;kumparanBISNIS
1140;7 Juni 2018
1141;Bantuan PSU untuk Rumah Murah Kini Bisa Diajukan Secara Online
1142;Bantuan PSU untuk rumah murah dapat diajukan melalui situs bantuanpsu.pu.go.id.
1143;kumparanBISNIS
1144;6 Juni 2018
1145;Jelajah Proyek Jalan Rp 5 Triliun
1146;Puluhan titik longsor ditemukan, masih banyak bagian jalan yang belum diaspal dan minim penerangan.
1147;kumparanNEWS
1148;5 Juni 2018
1149;PUPR Tawarkan Bangun Akses Wisata Pulau Seram ke Pemprov Maluku
1150;Pulau Seram memiliki potensi wisata alam luar biasa namun sebagian besar belum dijelajahi.
1151;kumparanNEWS
1152;3 Juni 2018
1153;PUPR Perpanjang Jalur Trans Maluku 45 Km dari Bula ke Air Nanang
1154;Jalan Trans Maluku ditargetkan dapat beroperasi pada 2019 mendatang walaupun belum sempurna.
1155;kumparanNEWS
1156;3 Juni 2018
1157;Tarif Tol Becakayu Diskon 28% saat Mudik Lebaran 2018
1158;Diskon tarif tol Becakayu tersebut berlaku mulai 8-23 Juni 2018.
1159;kumparanBISNIS
1160;31 Mei 2018
1161;Strategi Menteri PUPR agar Mudik Lebaran 2018 Lancar dan Bebas Macet
1162;Menteri PUPR Basuki Hadimuljono mengungkapkan ada beberapa fasilitas yang disediakan di titik-titik rawan macet.
1163;kumparanBISNIS
1164;30 Mei 2018
1165;Gerbang Tol Fungsional Macet, Masyarakat Diimbau Pakai Jalan Arteri
1166;Ada 6 ruas jalan tol di Jawa yang dioperasikan secara fungsional pada mudik lebaran tahun ini.
1167;kumparanBISNIS
1168;29 Mei 2018
1169;Ada 150 Alat Pembayaran E-Toll Berjalan saat Mudik, Ini Lokasinya
1170;150 alat transaksi pembayaran menggunakan uang elektronik akan disebar di ruas tol Jawa dan Sumatera.
1171;kumparanBISNIS
1172;29 Mei 2018
1173;PUPR Akan Bangun Akses Jalan ke Terminal Baru Bandara Ahmad Yani
1174;Kementerian PUPR akan mendesain jalan khusus akses ke terminal baru Bandara Ahmad Yani sepanjang 1,2 kilometer.
1175;kumparanBISNIS
1176;29 Mei 2018
1177;PUPR Siagakan 26 Mobile Toilet saat Arus Mudik Lebaran 2018
1178;26 mobile toilet tersebut disediakan di 10 ruas tol Trans Jawa.
1179;kumparanBISNIS
1180;29 Mei 2018
1181;Bank BPD Jadi Penyalur Terbanyak KPR FLPP
1182;Di tahun ini 26 BPD menjadi penyalur terbanyak KPR FLPP sebesar 2.613 rumah murah.
1183;kumparanBISNIS
1184;28 Mei 2018
1185;Penyaluran KPR FLPP Baru 16%, Apa Penyebabnya?
1186;Hingga 22 Mei 2018, Kementerian PUPR baru menyalurkan KPR FLPP 6.746 rumah.
1187;kumparanBISNIS
1188;26 Mei 2018
1189;Realisasi Penyaluran KPR Subsidi FLPP 2018 Baru 16%
1190;Tahun ini, anggaran untuk KPR FLPP sebesar Rp 4,5 triliun. Di tahun 2017, anggaran KPR FLPP hanya Rp 2,7 triliun.
1191;kumparanBISNIS
1192;26 Mei 2018
1193;Hingga 25 Mei 2018, Realisasi Program Sejuta Rumah Capai 350 Ribu Unit
1194;Untuk merealisasikan target, Kementerian PUPR menjalankan program KPR Bersubsidi FLPP, hingga insentif bantuan DP.
1195;kumparanBISNIS
1196;26 Mei 2018
1197;Bupati Halmahera Timur Segera Disidang
1198;Bupati Halmahera Timur Rudi Erawan akan disidang atas kasus suap proyek di Kementerian PUPR tahun anggaran 2016.
1199;kumparanNEWS
1200;25 Mei 2018
1201;Mudik Lewat Jalur Pantai Selatan, Masyarakat Bisa Sekalian Berwisata
1202;Di sepanjang jalur Pansela memang terdapat banyak obyek wisata.
1203;kumparanBISNIS
1204;25 Mei 2018
1205;PUPR Imbau Pemudik Manfaatkan Jalur Pantai Selatan Jawa
1206;Jalur pantai selatan melewati beberapa lokasi wisata, dari mulai Pelabuhan Ratu di Sukabumi, sampai pantai Pangandaran.
1207;kumparanBISNIS
1208;25 Mei 2018
1209;PUPR Bangun Rest Area Multi Fungsi di Bali dan Trenggalek
1210;Rest area yang tengah dibangun tersebut diadopsi dari Michi no Eki di Jepang dan Inter State Rest Area di AS.
1211;kumparanBISNIS
1212;25 Mei 2018
1213;Pengerjaan Jalan Tol Layang Jakarta-Cikampek Dihentikan H-10 Lebaran
1214;Seluruh pekerjaan konstruksi jalan akan dihentikan pada H-10 hingga H+10 Lebaran.
1215;kumparanBISNIS
1216;21 Mei 2018
1217;5 Ruas Tol Trans Sumatera Siap Dipakai Mudik, Berapa Tarifnya?
1218;Beberapa ruas tol tidak dikenakan tarif karena masih bersifat fungsional.
1219;kumparanBISNIS
1220;21 Mei 2018
1221;Sampah Plastik di 6 Kawasan Wisata Ini Akan Dijadikan Campuran Aspal
1222;6 kawasan wisata menerima mesin dari Kementerian PUPR untuk mengolah sampah plastik menjadi campuran aspal.
1223;kumparanBISNIS
1224;20 Mei 2018
1225;Kementerian PUPR Bantu Pembangunan 1.177 RTLH di Pesisir Selatan
1226;langkan
1227;19 Mei 2018
1228;Tarif Tol yang Sepi Akan Didiskon Besar Saat Arus Mudik
1229;BUJT sepakat memberikan diskon tarif tol, rata-rata sebesar 10% pada mudik Lebaran 2018. Tol yang sepi didiskon besar.
1230;kumparanBISNIS
1231;18 Mei 2018
1232;Hingga 8 Mei 2018, Realisasi Penyaluran Rumah Murah Baru 5.724 Unit
1233;Realisasi penyaluran rumah murah hingga 8 Mei 2018 telah mencapai 5.724 unit dari target 42 ribu unit.
1234;kumparanBISNIS
1235;17 Mei 2018
1236;PUPR Bikin Program Sertifikasi Tenaga Ahli Muda untuk Mahasiswa
1237;Rata-rata mahasiswa jurusan teknik tak memiliki keahlian khusus ketika lulus.
1238;kumparanBISNIS
1239;16 Mei 2018
1240;Kementerian PUPR Minta Bank Tambah KPR FLPP untuk Rumah Murah
1241;Kementerian PUPR meminta perbankan menambah KPR FLPP untuk rumah murah.
1242;kumparanBISNIS
1243;15 Mei 2018
1244;Merak-Malang Terhubung Tol saat Lebaran Nanti, Berapa Tarifnya?
1245;Pemudik dari Merak tujuan Malang sudah dapat menggunakan tol pada tahun ini.
1246;kumparanBISNIS
1247;12 Mei 2018
1248;PUPR Minta Pemda Bangun Rumah untuk PNS Berpenghasilan Rendah
1249;Banyak PNS golongan rendah di daerah yang belum memiliki rumah.
1250;kumparanBISNIS
1251;9 Mei 2018
1252;3 Ruas Tol di Sumatera Siap Beroperasi Fungsional saat Mudik Lebaran
1253;Secara total, terdapat 5 ruas tol di Sumatera yang dapat dinikmati pada mudik Lebaran 2018.
1254;kumparanBISNIS
1255;8 Mei 2018
1256;6 Ruas Tol Ini Akan Beroperasi Fungsional Saat Mudik Lebaran
1257;Beberapa ruas tol yang menghubungkan Jakarta-Surabaya akan dioperasikan secara fungsional pada arus mudik Lebaran 2018.
1258;kumparanBISNIS
1259;7 Mei 2018
1260;Kurangi Kemacetan, Pembangunan Tol Dihentikan H-10 Lebaran
1261;Seluruh proyek pembangunan infrastruktur jalan tol dihentikan pada H-10 Lebaran 2018 agar tak menambah kemacetan.
1262;kumparanBISNIS
1263;4 Mei 2018
1264;Kepadatan Tol Saat Arus Mudik Lebaran 2018 Diprediksi Naik 73%
1265;Pemudik diminta tak hanya mengandalkan jalan tol, tapi juga jalur alternatif arteri yang kondisinya sudah bagus.
1266;kumparanBISNIS
1267;4 Mei 2018
1268;Satgas Terbentuk, PUPR Siap Tindak Pengembang Rumah Murah Nakal
1269;Satgas tersebut diberi nama Satgas Pemantauan dan Pengendalian Program Satu Juta Rumah.
1270;kumparanBISNIS
1271;4 Mei 2018
1272;Tak Pernah Tercapai, Program 1 Juta Rumah Ditargetkan Berhasil di 2018
1273;Program membangun 1 juta rumah setiap tahun tidak pernah tercapai sejak dicanangkan Presiden Jokowi pada 2015.
1274;Tugu Jogja
1275;3 Mei 2018
1276;Remunerasi Pekerja Konstruksi Tak Semenarik Sektor Pertambangan
1277;Akibatnya, pekerja konstruksi malas mengikuti sertifikasi.
1278;kumparanBISNIS
1279;3 Mei 2018
1280;PUPR Selesaikan Bangun Jalan dan Jembatan di 8 Pulau Terluar di Maluku
1281;Jalan dan jembatan 90 persen hampir selesai dibangun di 8 pulau di Kabupaten Maluku Tenggara Barat dan Maluku Barat Daya
1282;kumparanNEWS
1283;30 April 2018
1284;Rasa Syukur Warga Pulau Masela ke Jokowi Setelah Dibuatkan Jalan
1285;Jalan Nasional Lingkar Masela Hampir Rampung, Warga Pulau Masela : Pak Jokowi Datanglah Kesini.
1286;kumparanNEWS
1287;29 April 2018
1288;Melihat Mulusnya Jalan Penghubung Pelabuhan di Pulau Kisar
1289;Ruas Jalan Nasional sepanjang 15 KM di pulau terluar di Maluku itu kondisinya baik dan nyaman dilewati.
1290;kumparanNEWS
1291;29 April 2018
1292;Sampah Plastik di Laut Labuan Bajo Akan Dipakai untuk Bahan Baku Aspal
1293;Sebelum menjadi bahan baku aspal, sampah plastik itu akan diolah memakai mesin pencacah karya mahasiswa UGM.
1294;kumparanBISNIS
1295;28 April 2018
1296;Dari 8,1 Juta TKI Bidang Konstruksi, Baru 700 Ribu yang Tersertifikasi
1297;Tak hanya belum memiliki sertifikat, mereka juga dinilai kurang memiliki keterampilan dan disipilin dalam bekerja.
1298;kumparanNEWS
1299;28 April 2018
1300;939 Ribu Rumah MBR Tersambung Akses Air Bersih dalam 3 Tahun
1301;Hingga akhir 2019, diharapkan terdapat tambahan 232 ribu rumah yang memiliki akses air bersih layak minum.
1302;kumparanBISNIS
1303;28 April 2018
1304;64 Ribu Rumah di Perdesaan akan Tersambung Jaringan Air Bersih
1305;Kementerian PUPR akan menggelontorkan hibah air minum sebesar Rp 128,8 miliar ke 74 kabupaten.
1306;kumparanBISNIS
1307;28 April 2018
1308;Kejar 100% Air Minum Aman, Kementerian PUPR Siapkan Rp 2 Triliun
1309;Hingga akhir tahun 2017, akses aman air minum baru mencapai 72,04%.
1310;kumparanBISNIS
1311;27 April 2018
1312;Aturan Baru Tarif Tol Sudah Diteken, Ngawi-Wilangan Mulai Rp 1.000
1313;Aturan baru terkait skema penentuan tarif tol telah terbit.
1314;kumparanBISNIS
1315;26 April 2018
1316;PUPR Pekerjakan 70 TKA China untuk Bangun Terowongan di Tol Cisumdawu
1317;Dipekerjakannya TKA asal China tersebut karena pemerintah mendapatkan pinjaman dari China sebesar Rp 3,5 triliun.
1318;kumparanBISNIS
1319;26 April 2018
1320;Terowongan Cisumdawu Tak Punya Jalur Evakuasi, Bagaimana Keamanannya?
1321;Terowongan kembar di tol Cisumdawu memiliki panjang 472 meter.
1322;kumparanBISNIS
1323;26 April 2018
1324;Pembangunan Terowongan Kembar di Tol Cisumdawu Molor dari Target
1325;Untuk seksi 2 fase II Ciherang-Sumedang sepanjang 10,70 km, pembangunannya saat ini sudah mencapai 37,03%.
1326;kumparanBISNIS
1327;26 April 2018
1328;Pengusaha Properti Siap Bangun Hunian di 9 Kota Mandiri Baru
1329;REI (Real Estate Indonesia) siap mendukung pembangunan 9 kota mandiri baru.
1330;kumparanBISNIS
1331;25 April 2018
1332;Bank Dunia Beri Utang Rp 4,17 Triliun untuk Pengembangan Pariwisata RI
1333;Utang itu akan digunakan untuk penyusunan masterplan pengembangan KSPN, hingga penyiapan SDM pariwisata.
1334;kumparanBISNIS
1335;24 April 2018
1336;Pakai Skema Ini, Pengembang Tak Lagi Kesulitan Bangun Rumah Murah
1337;Hambatan terbesar program Sejuta Rumah adalah harga tanah yang semakin tinggi, lantas apa solusinya?
1338;kumparanBISNIS
1339;21 April 2018
1340;Realisasi Program Sejuta Rumah di 2018 Baru 27,5% dari Target
1341;Program ini dicanangkan untuk mengatasi kekurangan kebutuhan (backlog) perumahan di Indonesia.
1342;kumparanBISNIS
1343;21 April 2018
1344;PUPR Kirimkan Rangka Pengganti Jembatan Tuban yang Ambruk
1345;Kementerian PUPR memastikan akan segera memperbaiki jembatan Tuban yang ambruk agar bisa dilalui saat mudik lebaran.
1346;kumparanBISNIS
1347;18 April 2018
1348;Wijaya Karya Terancam Sanksi atas Insiden Tol Manado-Bitung
1349;Menteri PUPR Basuki Hadimuljono akan menjatuhkan sanksi bagi Wijaya Karya atas insiden di Tol Manado-Bitung.
1350;kumparanBISNIS
1351;18 April 2018
1352;PUPR Minta Kemenhub Tindak Tegas Truk yang Bawa Muatan Berlebih
1353;Kementerian PUPR mengkritik Kemenhub yang hanya menilang truk yang terbukti membawa muatan berlebih.
1354;kumparanBISNIS
1355;17 April 2018
1356;Ruas Tol Manado-Bitung yang Runtuh Milik Pemerintah
1357;Ruas jalan tol Manado-Bitung runtuh di Km 13+200 pada sore hari tadi.
1358;kumparanBISNIS
1359;17 April 2018
1360;Perbaikan Jembatan Ambruk di Tuban Ditargetkan Selesai Sebelum Lebaran
1361;Kementerian PUPR juga akan menerjunkan tim ahli untuk investigasi ambruknya jembatan di Tuban.
1362;kumparanBISNIS
1363;17 April 2018
1364;Proyek Jalan Tol Manado-Bitung Runtuh di Km 13
1365;Peristiwa tersebut terjadi pada sore tadi.
1366;kumparanBISNIS
1367;17 April 2018
1368;Jembatan di Tuban Ambruk Diduga karena Kelebihan Beban
1369;Bina Marga Kemeterian PUPR menyebut jembatan di Tuban yang ambruk tersebut hanya mampu menahan beban 70 ton.
1370;kumparanNEWS
1371;17 April 2018
1372;Bangun Desa Tertinggal, 6 KPPN Dikembangkan Tahun Ini
1373;Kawasan Pedesaan Prioritas Nasional (KPPN) dikembangkan di kabupaten yang banyak desa tertinggal.
1374;kumparanBISNIS
1375;17 April 2018
1376;14 Lembaga Negara Gotong Royong Bangun Kawasan Ekonomi Perbatasan
1377;Kementerian PUPR pada tahun lalu telah menyelesaikan pembangunan 7 Pos Lintas Batas Negara (PLBN).
1378;kumparanBISNIS
1379;16 April 2018
1380;PUPR: Tanggul Pantai Utara Jakarta Sepanjang 4,5 Km Rampung Juli 2018
1381;Saat ini progres pembangunan tanggul di pantai utara Jakarta sepanjang 4,5 kilometer sudah mencapai 84%.
1382;kumparanBISNIS
1383;15 April 2018
1384;Pekerja Tak Bersertifikat, Izin Perusahaan Konstruksi Akan Dicabut
1385;Berdasarkan UU nomor 2/2017, tenaga kerja di bidang jasa konstruksi wajib memiliki sertifikat kompetensi kerja.
1386;kumparanBISNIS
1387;14 April 2018
1388;PUPR Targetkan 643 Km Jalan Trans Papua Barat Teraspal di Akhir 2018
1389;Tahun ini, Kementerian PUPR menganggarkan Rp 1,6 triliun untuk pembangunan Jalan Trans Papua Barat.
1390;kumparanBISNIS
1391;14 April 2018
1392;Pastikan Penyaluran Tepat Sasaran, PUPR Sisir 43 Ribu Rumah Subsidi
1393;Jika pemilik rumah subsidi melanggar aturan, Kementerian PUPR tak segan memberikan peringatan hingga mencabut subsidi.
1394;kumparanBISNIS
1395;14 April 2018
1396;PUPR Ungkap 4 Alasan Perlunya Membangun Infrastruktur
1397;Peringkat daya saing infrastruktur Indonesia naik dari posisi 72 ke 52 dari 137 negara.
1398;kumparanBISNIS
1399;13 April 2018
1400;Implementasi Penurunan Tarif Tol Tunggu Kajian BPJT
1401;Kebijakan penurunan tarif tol akan diberlakukan ketika kajian dari Badan Pengatur Jalan Tol (BPJT) selesai.
1402;kumparanBISNIS
1403;13 April 2018
1404;PUPR Targetkan 3 Juta Pekerja Konstruksi Tersertifikasi di 2019
1405;Dari total 8,1 juta tenaga kerja konstruksi, baru 702 ribu orang yang sudah memiliki sertifikat.
1406;kumparanBISNIS
1407;6 April 2018
1408;Rumah Subsidi Harus Berkualitas, PUPR Minta Bank Awasi Pembangunan
1409;Kementerian PUPR mengalokasikan KPR bersubsidi untuk 43.326 rumah pada 2018 yang akan disalurkan melalui sejumlah bank.
1410;kumparanBISNIS
1411;5 April 2018
1412;Ada Usulan Investasi Properti Dijamin oleh Pemerintah, Setuju?
1413;Cara ini dilakukan agar memberikan rasa aman bagi para konsumen saat mereka membeli unit hunian.
1414;kumparanBISNIS
1415;4 April 2018
1416;REI Soal Rencana PUPR Naikkan Standar Hunian: Masyarakat Bisa Nyicil?
1417;Hunian layak akan dinaikkan dari rumah tipe 36 meter persegi menjadi tipe 45 meter persegi, luas lahan 70 meter persegi.
1418;kumparanBISNIS
1419;2 April 2018
1420;PUPR Mau Naikkan Standar Minimal Hunian Layak dari Rumah Tipe 36 ke 45
1421;Keinginan PUPR sudah masuk ke tahap konsultasi publik dan meminta pendapat stakeholder bidang perumahan dan pengembang.
1422;kumparanBISNIS
1423;2 April 2018
1424;Kementerian PUPR Kebut Pengerjaan Jalan Lintas Pantai Selatan Jawa
1425;Salah satu jalan Pansela yang rampung ditingkatkan adalah ruas Giriwoyo-Duwet sepanjang 23,7 km.
1426;kumparanBISNIS
1427;1 April 2018
1428;Pinjaman Bank Dunia Rp 4,1 T untuk Bangun Pariwisata RI Cair Agustus
1429;Pinjaman itu akan digunakan untuk membangun aksesibilitas jalan, hingga dana pengembangan daya tarik wisata lokal.
1430;kumparanBISNIS
1431;31 Maret 2018
1432;BPJT Klaim Pengelola Tol Tak Menolak Kebijakan Penurunan Tarif
1433;BPJT menyebut Badan Usaha Jalan Tol (BUJT) memahami bahwa kebijakan penurunan tarif tol untuk kebaikan bersama.
1434;kumparanBISNIS
1435;31 Maret 2018
1436;PUPR: Penurunan Tarif Hanya Berlaku untuk Tol yang Dibangun 2011-2018
1437;Kementerian PUPR menilai tarif tol yang dibangun di tahun 1980-2010 dianggap masih terjangkau oleh masyarakat.
1438;kumparanBISNIS
1439;31 Maret 2018
1440;Keluhan Sopir Truk yang Akhirnya Dijawab Jokowi: Tarif Tol Turun
1441;Selain penurunan tarif tol, penyederhanaan golongan kendaraan logistik juga dilakukan untuk menjawab keluhan sopir truk.
1442;kumparanBISNIS
1443;31 Maret 2018
1444;April 2018, Pemerintah Turunkan Tarif 39 Ruas Tol
1445;Adapun 39 ruas tol itu terdiri dari Tol Trans Jawa Antar Kota, Jabodetabek, Non Trans Jawa, serta Sumatera dan lainnya.
1446;kumparanBISNIS
1447;31 Maret 2018
1448;Cegah Alih Fungsi, PUPR Targetkan 500 SDEW Tersertifikasi di 2018
1449;Sertifikasi diharapkan bisa mengatasi kasus-kasus situ, danau, embung, dan waduk.(SDEW) yang beralih fungsi.
1450;kumparanBISNIS
1451;28 Maret 2018
1452;Kementerian PUPR Telah Lelang 6.019 Paket Proyek Senilai Rp 40,5 T
1453;Jumlah paket yang telah dilelang sebagian besar dari empat Direktorat Jenderal Kementerian PUPR.
1454;kumparanBISNIS
1455;28 Maret 2018
1456;Pengelola Tol Setujui Penurunan Tarif, Asal Pemerintah Penuhi 2 Syarat
1457;Ada dua syarat yang diajukan BUJT ke pemerintah sebelum penurunan tarif tol diberlakukan khususnya untuk truk logistik.
1458;kumparanBISNIS
1459;27 Maret 2018
1460;Perbaiki Sektor Perumahan Rakyat, PUPR Godok Permen soal Pengembang
1461;Pengembang perumahan nantinya wajib teregistrasi dan bersertifikasi untuk menjamin kemanan bagi konsumen.
1462;kumparanBISNIS
1463;27 Maret 2018
1464;Penurunan Tarif Tol bagi Truk Logistik Diklaim Ampuh Menekan Inflasi
1465;Salah satu komponen inflasi yang sering muncul disebabkan oleh ongkos logistik yang terlalu mahal.
1466;kumparanBISNIS
1467;26 Maret 2018
1468;Skema Penurunan Tarif Tol Usulan Jokowi Belum Final
1469;Presiden Jokowi menargetkan aturan penurunan tol akan ditandatangani di akhir Maret ini.
1470;kumparanBISNIS
1471;26 Maret 2018
1472;Kementerian PUPR Siapkan Rp 34 T untuk Atasi Krisis Air Bersih
