,newsdesc,newstitle,titledesc
23,Program Satu Juta Rumah merupakan salah satu program strategis nasional yang dicanangkan Presiden Joko Widodo.,"Lebih dari Target, Kementerian PUPR Bangun 1.132.621 Rumah pada 2018","Program Satu Juta Rumah merupakan salah satu program strategis nasional yang dicanangkan Presiden Joko Widodo. Lebih dari Target, Kementerian PUPR Bangun 1.132.621 Rumah pada 2018"
24,Penyidik juga menggarap pihak swasta yakni bernama Jemy. Jemy turut diperiksa sebagai saksi untuk tersangka Anggiat Partunggal.,"Suap Proyek Air Minum, KPK Mulai Periksa Saksi di Lingkungan PUPR","Penyidik juga menggarap pihak swasta yakni bernama Jemy. Jemy turut diperiksa sebagai saksi untuk tersangka Anggiat Partunggal. Suap Proyek Air Minum, KPK Mulai Periksa Saksi di Lingkungan PUPR"
25,"Selain kantor Ditjen Cipta Karya, penggeledahan juga dilakukan di kediaman dua tersangka.","Kasus Suap Proyek Air Minum PUPR, KPK Geledah Kantor Ditjen Cipta Karya","Selain kantor Ditjen Cipta Karya, penggeledahan juga dilakukan di kediaman dua tersangka. Kasus Suap Proyek Air Minum PUPR, KPK Geledah Kantor Ditjen Cipta Karya"
26,"Namun untuk memperkuat kontruksi hukum, kata dia, KPK masih terus melakukan penyidikan secara mendalam.",KPK Berpeluang Tetapkan Tersangka Baru di Kasus Suap Proyek PUPR,"Namun untuk memperkuat kontruksi hukum, kata dia, KPK masih terus melakukan penyidikan secara mendalam. KPK Berpeluang Tetapkan Tersangka Baru di Kasus Suap Proyek PUPR"
27,"Selain bukti uang dan deposito, penyidik KPK turut menyita sejumlah dokumen proyek yang relevan dengan penanganan kasus proyek PUPR.",KPK Sita Uang Ratusan Juta dan Deposito Rp 1 M di Rumah Penyuap Proyek PUPR,"Selain bukti uang dan deposito, penyidik KPK turut menyita sejumlah dokumen proyek yang relevan dengan penanganan kasus proyek PUPR. KPK Sita Uang Ratusan Juta dan Deposito Rp 1 M di Rumah Penyuap Proyek PUPR"
28,"Penyidik KPK, kata Febri kembali melakukan serangkaian penggeledahan lagi, hari ini. Lokasi yang digeledah adalah kediaman dari ketiga tersangka.","Usai Sita Uang Rp800 Juta, KPK Kini Geledah Rumah Penyuap Proyek PUPR","Penyidik KPK, kata Febri kembali melakukan serangkaian penggeledahan lagi, hari ini. Lokasi yang digeledah adalah kediaman dari ketiga tersangka. Usai Sita Uang Rp800 Juta, KPK Kini Geledah Rumah Penyuap Proyek PUPR"
29,"Setiap tahun, Kementerian PUPR memperbaiki sekitar 160 ribu unit rumah tidak layak huni.",Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas 2019,"Setiap tahun, Kementerian PUPR memperbaiki sekitar 160 ribu unit rumah tidak layak huni. Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas 2019"
30,Tersangka ditahan 20 hari pertama.,KPK Tahan Delapan Tersangka Suap Proyek SPAM PUPR di Lokasi Berbeda,Tersangka ditahan 20 hari pertama. KPK Tahan Delapan Tersangka Suap Proyek SPAM PUPR di Lokasi Berbeda
31,KPK menetapkan delapan orang tersangka Operasi Tangkap Tangan (OTT) dalam kasus dugaan suap kepada pejabat Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR).,KPK tahan 8 Tersangka Suap Proyek SPAM di PUPR,KPK menetapkan delapan orang tersangka Operasi Tangkap Tangan (OTT) dalam kasus dugaan suap kepada pejabat Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR). KPK tahan 8 Tersangka Suap Proyek SPAM di PUPR
32,"""KPK mengecam keras dan sangat prihatin,""","KPK Geram, Suap Pejabat PUPR Terkait Proyek Air Minum untuk Korban Bencana","""KPK mengecam keras dan sangat prihatin,"" KPK Geram, Suap Pejabat PUPR Terkait Proyek Air Minum untuk Korban Bencana"
33,Wakil Ketua KPK menjelaskan kronologis OTT terkait dugaan suap proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR.,Begini Kronologis OTT Pejabat Kementerian PUPR,Wakil Ketua KPK menjelaskan kronologis OTT terkait dugaan suap proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR. Begini Kronologis OTT Pejabat Kementerian PUPR
34,"Dari OTT tersebut KPK menyita barang bukti uang dalam tiga pecahan mata uang sebesar 3.200 dolar AS, 23.100 dolar Singapura, dan Rp3,9 miliar",Ini Uang Korupsi OTT Pejabat PUPR,"Dari OTT tersebut KPK menyita barang bukti uang dalam tiga pecahan mata uang sebesar 3.200 dolar AS, 23.100 dolar Singapura, dan Rp3,9 miliar Ini Uang Korupsi OTT Pejabat PUPR"
35,KPK menetapkan delapan tersangka terkait dugaan suap proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR.,KPK Tetapkan Delapan Tersangka OTT di Kementerian PUPR,KPK menetapkan delapan tersangka terkait dugaan suap proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR. KPK Tetapkan Delapan Tersangka OTT di Kementerian PUPR
36,"Dalam OTT itu, KPK mengamankan 20 orang dan uang Rp 500 juta serta 25.000 dolar Singapura",OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah Bencana,"Dalam OTT itu, KPK mengamankan 20 orang dan uang Rp 500 juta serta 25.000 dolar Singapura OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah Bencana"
37,Inspektur Jenderal Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) Widiarto menyambangi Komisi Pemberantasan Korupsi (KPK).,"Anak Buah Terlibat OTT, Irjen Kementerian PUPR Sambangi KPK","Inspektur Jenderal Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) Widiarto menyambangi Komisi Pemberantasan Korupsi (KPK). Anak Buah Terlibat OTT, Irjen Kementerian PUPR Sambangi KPK"
38,KPK tengah menghitung satu kardus berisikan uang hasil OTT.,"OTT Pejabat PUPR, KPK Dalami Kasus Penyediaan Air Minum Tanggap Darurat","KPK tengah menghitung satu kardus berisikan uang hasil OTT. OTT Pejabat PUPR, KPK Dalami Kasus Penyediaan Air Minum Tanggap Darurat"
39,KPK telah mengamankan 20 orang dari unsur pejabat PUPR dan pihak swasta.,"OTT Pejabat Kementerian PUPR, KPK Sita Uang Dolar Singapura","KPK telah mengamankan 20 orang dari unsur pejabat PUPR dan pihak swasta. OTT Pejabat Kementerian PUPR, KPK Sita Uang Dolar Singapura"
40,OTT dilakukan terkait proyek penyediaan air minum di sejumlah daerah.,20 Orang Diamankan KPK Terkait OTT di Kementerian PUPR,OTT dilakukan terkait proyek penyediaan air minum di sejumlah daerah. 20 Orang Diamankan KPK Terkait OTT di Kementerian PUPR
41,"""Iya (OTT pejabat di Kemenerian PUPR),"" kata seorang internal penegak hukum",KPK Dikabarkan OTT Pejabat Kementerian PUPR,"""Iya (OTT pejabat di Kemenerian PUPR),"" kata seorang internal penegak hukum KPK Dikabarkan OTT Pejabat Kementerian PUPR"
42,Program Satu Juta Rumah telah berjalan selama empat tahun.,PUPR: Negara Hadir dalam Menyediakan Rumah Layak Huni bagi Warga,Program Satu Juta Rumah telah berjalan selama empat tahun. PUPR: Negara Hadir dalam Menyediakan Rumah Layak Huni bagi Warga
43,Perbaikan jembatan layang merupakan kewenangan Kementerian PUPR.,"Flyover Rawa Buaya Retak, Anies Minta Kementerian PUPR Cek Flyover se - Jakarta","Perbaikan jembatan layang merupakan kewenangan Kementerian PUPR. Flyover Rawa Buaya Retak, Anies Minta Kementerian PUPR Cek Flyover se - Jakarta"
44,Flyover Rawa Buaya hanya sedang mengalami peregangan karena faktor cuaca.,Menteri PUPR Sebut Flyover Rawa Buaya Bukan Retak Tapi Sedang Peregangan,Flyover Rawa Buaya hanya sedang mengalami peregangan karena faktor cuaca. Menteri PUPR Sebut Flyover Rawa Buaya Bukan Retak Tapi Sedang Peregangan
45,Proses pemeliharaan tersebut akan berlangsung selama 14 hari terhitung dari Rabu (26/12/2018) kemarin.,Menteri PUPR: Flyover Rawa Buaya Tidak Retak,Proses pemeliharaan tersebut akan berlangsung selama 14 hari terhitung dari Rabu (26/12/2018) kemarin. Menteri PUPR: Flyover Rawa Buaya Tidak Retak
46,Selama perbaikan lalu lintas di jalur fly over Rawa Buaya sementara ditutup,PUPR Perbaiki Fly Over Rawa Buaya yang Retak,Selama perbaikan lalu lintas di jalur fly over Rawa Buaya sementara ditutup PUPR Perbaiki Fly Over Rawa Buaya yang Retak
47,"Teguh mengatakan, kebocoran di tanggul Muara Baru sudah terjadi setiap tahun.","Tanggul Muara Baru Sering Jebol, Pemprov Sebut Tanggung Jawab Kemen PUPR","Teguh mengatakan, kebocoran di tanggul Muara Baru sudah terjadi setiap tahun. Tanggul Muara Baru Sering Jebol, Pemprov Sebut Tanggung Jawab Kemen PUPR"
48,Program Satu Juta Rumah telah menjalankan beberapa strategi.,Menteri PUPR Dorong REI Tingkatkan Penyediaan Rumah Terjangkau,Program Satu Juta Rumah telah menjalankan beberapa strategi. Menteri PUPR Dorong REI Tingkatkan Penyediaan Rumah Terjangkau
49,"""Iya ini Trans Papua proyek PU, tapidilaksanakan dengan TNI AD, dalam hal ini direktorat Zeni, mereka buka jalan.""",Kementerian PUPR Akui Proyek Trans Papua Libatkan TNI AD buat Buka Jalan,"""Iya ini Trans Papua proyek PU, tapidilaksanakan dengan TNI AD, dalam hal ini direktorat Zeni, mereka buka jalan."" Kementerian PUPR Akui Proyek Trans Papua Libatkan TNI AD buat Buka Jalan"
50,Program ini membuka lapangan kerja bagi masyarakat.,"Sejuta Rumah, per 3 Desember 2018 PUPR Telah Bangun 1 Juta Unit Lebih","Program ini membuka lapangan kerja bagi masyarakat. Sejuta Rumah, per 3 Desember 2018 PUPR Telah Bangun 1 Juta Unit Lebih"
51,"""Kami juga mempekerjakan warga lokal kok. Tidak ada ketimpangan sama sekali,",Menteri PUPR Bantah Penembakan di Papua karena Warga Lokal Tak Dipekerjakan,"""Kami juga mempekerjakan warga lokal kok. Tidak ada ketimpangan sama sekali, Menteri PUPR Bantah Penembakan di Papua karena Warga Lokal Tak Dipekerjakan"
52,Istaka Karya juga tidak pernah bersitegang dengan warga sekitar.,"Menteri PUPR Klaim Lokasi Proyek Garapan Istaka Karya Aman, Nyatanya?","Istaka Karya juga tidak pernah bersitegang dengan warga sekitar. Menteri PUPR Klaim Lokasi Proyek Garapan Istaka Karya Aman, Nyatanya?"
53,"Nanti malam saya akan ke Wamena, akan kami lihat kondisi dan mengevakuasi.""",Menteri PUPR Ajak Panglima TNI Terbang ke Papua Tinjau Lokasi Penembakan,"Nanti malam saya akan ke Wamena, akan kami lihat kondisi dan mengevakuasi."" Menteri PUPR Ajak Panglima TNI Terbang ke Papua Tinjau Lokasi Penembakan"
54,"Akibat retakan tanah tersebut, pengerjaan talud pasca-longsor di kawasan Puncak beberapa bulan lalu itu dapat terganggu",Kementrian PUPR Investigasi Jalur Puncak yang Retak,"Akibat retakan tanah tersebut, pengerjaan talud pasca-longsor di kawasan Puncak beberapa bulan lalu itu dapat terganggu Kementrian PUPR Investigasi Jalur Puncak yang Retak"
55,"Menurut data, baru sekitar 40 persen Rusus yang diserahterimakan.",PUPR Serahterimakan Aset Rumah Senilai Rp 266 M pada Pemda,"Menurut data, baru sekitar 40 persen Rusus yang diserahterimakan. PUPR Serahterimakan Aset Rumah Senilai Rp 266 M pada Pemda"
56,"Hal ini dikonfirmasi Ketua KPK, Agus Rahardjo.",Resmi! Bupati Pakpak Bharat Tersangka Suap Proyek Dinas PUPR,"Hal ini dikonfirmasi Ketua KPK, Agus Rahardjo. Resmi! Bupati Pakpak Bharat Tersangka Suap Proyek Dinas PUPR"
57,"""Dikirim untuk memperkuat dan mempercepat pembangunan rumah tahan gempa,""",Kementerian PUPR Terjunkan 96 Insinyur Muda untuk Pulihkan NTB,"""Dikirim untuk memperkuat dan mempercepat pembangunan rumah tahan gempa,"" Kementerian PUPR Terjunkan 96 Insinyur Muda untuk Pulihkan NTB"
58,Uji beban jembatan bentang panjang merupakan bagian paling penting.,"Rampung, PUPR Uji Beban Jembatan Kalikuto di Ruas Batang-Semarang","Uji beban jembatan bentang panjang merupakan bagian paling penting. Rampung, PUPR Uji Beban Jembatan Kalikuto di Ruas Batang-Semarang"
59,"Adapun nilai kontrak proyek ini mencapai Rp 3,4 miliar",PUPR: Rumah Khusus bagi Nelayan Diharapkan Selesai Desember 2018,"Adapun nilai kontrak proyek ini mencapai Rp 3,4 miliar PUPR: Rumah Khusus bagi Nelayan Diharapkan Selesai Desember 2018"
60,Pemerintah telah menyelesaikan 45 unit rumah dalam satu desa.,"Dengan BSPS, PUPR Selesaikan Rumah Layak Huni di Desa Semowo","Pemerintah telah menyelesaikan 45 unit rumah dalam satu desa. Dengan BSPS, PUPR Selesaikan Rumah Layak Huni di Desa Semowo"
61,Kegiatan ini mendukung program Padat Karya Tunai KemenPUPR.,"Kurangi Kawasan Kumuh di Jombang, PUPR Berikan Padat Karya Tunai","Kegiatan ini mendukung program Padat Karya Tunai KemenPUPR. Kurangi Kawasan Kumuh di Jombang, PUPR Berikan Padat Karya Tunai"
62,Pembangunannya ditargetkan rampung akhir 2019.,"Amankan Sawah Warga, PUPR Bangun Akses Patimban dengan Pile Slab","Pembangunannya ditargetkan rampung akhir 2019. Amankan Sawah Warga, PUPR Bangun Akses Patimban dengan Pile Slab"
63,Rumah susun yang sudah dibangun harus segera dihuni.,"Dukung Kinerja Petugas Lapas di Cilacap, PUPR Bangun Rusun","Rumah susun yang sudah dibangun harus segera dihuni. Dukung Kinerja Petugas Lapas di Cilacap, PUPR Bangun Rusun"
64,Jembatan beton tersebut dibangun pada 2006.,"Putus Akibat Banjir, PUPR Kirim Bailey untuk Jembatan Cipatujah","Jembatan beton tersebut dibangun pada 2006. Putus Akibat Banjir, PUPR Kirim Bailey untuk Jembatan Cipatujah"
65,Berbagai metode terkait sertifikasi pekerja sudah dilakukan.,PUPR Dorong Percepatan Percepatan Sertifikasi Pekerja Konstruksi,Berbagai metode terkait sertifikasi pekerja sudah dilakukan. PUPR Dorong Percepatan Percepatan Sertifikasi Pekerja Konstruksi
66,"Menurut Basuki, RUU Pertanahan merupakan usulan lama DPR",Menteri PUPR: Pemerintah Belum Solid Soal RUU Pertanahan,"Menurut Basuki, RUU Pertanahan merupakan usulan lama DPR Menteri PUPR: Pemerintah Belum Solid Soal RUU Pertanahan"
67,"Sebanyak 134 unit jembatan gantung, ditargetkan selesai pada Desember 2018.",PUPR: Pembangunan 134 Jembatan Gantung Selesai Akhir Tahun Ini,"Sebanyak 134 unit jembatan gantung, ditargetkan selesai pada Desember 2018. PUPR: Pembangunan 134 Jembatan Gantung Selesai Akhir Tahun Ini"
68,"""Kata mereka (DPRD Jawa Tengah) karena sudah ada jalur Jogja-Solo.""",Menteri PUPR Pertanyakan Pembatalan Proyek Tol Bawen - Jogjakarta,"""Kata mereka (DPRD Jawa Tengah) karena sudah ada jalur Jogja-Solo."" Menteri PUPR Pertanyakan Pembatalan Proyek Tol Bawen - Jogjakarta"
69,KPK membawa 10 orang yang terdiri dari pejabat dinas dan rekanan mitra kerja terkait kasus perizinan properti.,Kantor Dinas PUPR Kabupaten Bekasi Disegel KPK,KPK membawa 10 orang yang terdiri dari pejabat dinas dan rekanan mitra kerja terkait kasus perizinan properti. Kantor Dinas PUPR Kabupaten Bekasi Disegel KPK
70,Penyegelan dilakukan usai KPK menangkap 10 orang melalui OTT di Kabupaten Bekasi,Detik-detik KPK Segel Ruangan Satu Lantai Dinas PUPR Bekasi,Penyegelan dilakukan usai KPK menangkap 10 orang melalui OTT di Kabupaten Bekasi Detik-detik KPK Segel Ruangan Satu Lantai Dinas PUPR Bekasi
71,"Dalam tiga tahun terakhir, panjang ruas tol baru di Indonesia bertambah 332 km.","Hingga Desember 2018, PUPR Siap Operasikan 13 Ruas Tol Baru","Dalam tiga tahun terakhir, panjang ruas tol baru di Indonesia bertambah 332 km. Hingga Desember 2018, PUPR Siap Operasikan 13 Ruas Tol Baru"
72,Komisi Pemberantasan Korupsi (KPK) menyegel sejumlah ruangan di Dinas Perumahan Umum dan Penataan Ruang (PUPR) Kabupaten Bekasi.,"Masih Misteri, KPK Segel 4 Ruangan Dinas PUPR Kabupaten Bekasi","Komisi Pemberantasan Korupsi (KPK) menyegel sejumlah ruangan di Dinas Perumahan Umum dan Penataan Ruang (PUPR) Kabupaten Bekasi. Masih Misteri, KPK Segel 4 Ruangan Dinas PUPR Kabupaten Bekasi"
73,Paiman yang saat itu tengah piket mengatakan ketiga orang itu terdiri atas dua orang pria dan satu wanita.,"KPK Segel Kantor Dinas PUPR Kabupaten Bekasi, Ada Apa?","Paiman yang saat itu tengah piket mengatakan ketiga orang itu terdiri atas dua orang pria dan satu wanita. KPK Segel Kantor Dinas PUPR Kabupaten Bekasi, Ada Apa?"
74,"Untuk perkara di Tulungagung diduga sebagai penerima, yakni Syahri Mulyo, Sutrisno, dan Agung Prayitno. Sedangkan diduga sebagai pemberi, yaitu Susilo Prabowo.",KPK Menyita Aset Kepala Dinas PUPR Tulungagung,"Untuk perkara di Tulungagung diduga sebagai penerima, yakni Syahri Mulyo, Sutrisno, dan Agung Prayitno. Sedangkan diduga sebagai pemberi, yaitu Susilo Prabowo. KPK Menyita Aset Kepala Dinas PUPR Tulungagung"
75,"Meski secara kontraktual pembangunan jalan 3 provinsi pada 2020, pemerintah berharap bisa selesai pada 2019",Kementrian PUPR Paparkan Progres Pembangunan Jalan 3 Provinsi,"Meski secara kontraktual pembangunan jalan 3 provinsi pada 2020, pemerintah berharap bisa selesai pada 2019 Kementrian PUPR Paparkan Progres Pembangunan Jalan 3 Provinsi"
76,Saat ini proyek tersebut masih dalam tahap studi.,PUPR Tengah Targetkan Pembangunan Terowongan Bukit Barisan,Saat ini proyek tersebut masih dalam tahap studi. PUPR Tengah Targetkan Pembangunan Terowongan Bukit Barisan
77,Asian Para Games akan berlangsung pada 6 - 13 Oktober mendatang.,"Asian Para Games 2018, PUPR: Semoga Para Atlet Nyaman","Asian Para Games akan berlangsung pada 6 - 13 Oktober mendatang. Asian Para Games 2018, PUPR: Semoga Para Atlet Nyaman"
78,Jembatan Pulau Balang mulai dikerjakan pada 2007.,"Bangun Jembatan Pulau Balang, PUPR : Mobilitas Warga Dipersingkat","Jembatan Pulau Balang mulai dikerjakan pada 2007. Bangun Jembatan Pulau Balang, PUPR : Mobilitas Warga Dipersingkat"
79,Pembangunan juga memperhatikan kemampuan dana pemerintah.,PUPR Targetkan Jalan Perbatasan Kaltara dan Kaltim Rampung 2019,Pembangunan juga memperhatikan kemampuan dana pemerintah. PUPR Targetkan Jalan Perbatasan Kaltara dan Kaltim Rampung 2019
80,"Pada 2019, jalan sudah tembus seluruhnya.",PUPR: Bangun Jalan Trans Kalimantan Banyak Kendala,"Pada 2019, jalan sudah tembus seluruhnya. PUPR: Bangun Jalan Trans Kalimantan Banyak Kendala"
81,Turnamen Gateball Hapernas 2018 dilaksanakan selama tiga hari.,"Hapernas 2018, Pertandingan Gateball PUPR Berlangsung Semarak","Turnamen Gateball Hapernas 2018 dilaksanakan selama tiga hari. Hapernas 2018, Pertandingan Gateball PUPR Berlangsung Semarak"
82,"Pemerintah optimistis, pembangunan seluruhnya akan selesai tepat waktu.",PUPR Pantau Pembangunan Rumah Rakyat melalui e-Monitoring,"Pemerintah optimistis, pembangunan seluruhnya akan selesai tepat waktu. PUPR Pantau Pembangunan Rumah Rakyat melalui e-Monitoring"
