,newsdesc,newstitle,titledesc
17,Sistem transaksi pembayaran non tunai pada jalan tol merupakan bagian dari Gerakan Nasional Non Tunai yang disepakati Bank Indonesia dan Kementerian PUPR pada 31 Mei 2017.,Bantahan Kementerian PUPR Soal Isu Utang Asing pada Sistem Transaksi Tol,Sistem transaksi pembayaran non tunai pada jalan tol merupakan bagian dari Gerakan Nasional Non Tunai yang disepakati Bank Indonesia dan Kementerian PUPR pada 31 Mei 2017. Bantahan Kementerian PUPR Soal Isu Utang Asing pada Sistem Transaksi Tol
18,"Perkembangan pembangunan Gedung Sekretariat ASEAN saat ini sudah mencapai 85 persen, dan ditargetkan rampung pada Maret 2019.",Pembangunan Gedung Baru Sekretariat ASEAN Ditargetkan Rampung Maret 2019,"Perkembangan pembangunan Gedung Sekretariat ASEAN saat ini sudah mencapai 85 persen, dan ditargetkan rampung pada Maret 2019. Pembangunan Gedung Baru Sekretariat ASEAN Ditargetkan Rampung Maret 2019"
19,"Kementerian PUPR membangun 2 Instalasi Pengolahan Air Limbah dilengkapi sistem perpipaan di Jorong Tawakal dan Tawakal Baru, Sungai Rumbai, Dharmasraya, Sumatera Barat.",Cara Kementerian PUPR Tingkatkan Kualitas Kesehatan Warga Sumatera Barat,"Kementerian PUPR membangun 2 Instalasi Pengolahan Air Limbah dilengkapi sistem perpipaan di Jorong Tawakal dan Tawakal Baru, Sungai Rumbai, Dharmasraya, Sumatera Barat. Cara Kementerian PUPR Tingkatkan Kualitas Kesehatan Warga Sumatera Barat"
20,"Sebelumnya, KPK menggeledah Kantor Ditjen Cipta Karya Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), Kamis 3 Januari 2019.",KPK Panggil Pegawai Kementerian PUPR terkait Kasus Suap Proyek Air Minum,"Sebelumnya, KPK menggeledah Kantor Ditjen Cipta Karya Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), Kamis 3 Januari 2019. KPK Panggil Pegawai Kementerian PUPR terkait Kasus Suap Proyek Air Minum"
21,"Kementerian PUPR telah menyelesaikan 190 dari total 699 unit hunian sementara (huntara) bagi korban bencana gempa bumi di Palu, Kabupaten Sigi dan Donggala.",Kementerian PUPR Selesaikan 190 Unit Hunian Sementara di Sulteng,"Kementerian PUPR telah menyelesaikan 190 dari total 699 unit hunian sementara (huntara) bagi korban bencana gempa bumi di Palu, Kabupaten Sigi dan Donggala. Kementerian PUPR Selesaikan 190 Unit Hunian Sementara di Sulteng"
22,Kehadiran Tol Trans Jawa pada 2018 diharapkan turut berimbas pada peningkatan ekonomi lokal.,"Ada Tol Trans Jawa, Pengiriman Barang Bisa Tiga Kali dalam Sehari","Kehadiran Tol Trans Jawa pada 2018 diharapkan turut berimbas pada peningkatan ekonomi lokal. Ada Tol Trans Jawa, Pengiriman Barang Bisa Tiga Kali dalam Sehari"
23,KPK menetapkan delapan orang sebagai tersangka kasus dugaan suap ‎terhadap pejabat Kementeriaan PUPR terkait proyek pembangunan Sistem Penyediaan Air Minum (SPAM).,KPK Geledah Kantor PT WKE Terkait Korupsi di Kementerian PUPR,KPK menetapkan delapan orang sebagai tersangka kasus dugaan suap ‎terhadap pejabat Kementeriaan PUPR terkait proyek pembangunan Sistem Penyediaan Air Minum (SPAM). KPK Geledah Kantor PT WKE Terkait Korupsi di Kementerian PUPR
24,"Menteri PUPR, Basuki Hadimuljono mengaku sedih dan terpukul mengetahui pejabat kementerian PUPR terkena OTT KPK.",Begini Langkah Kementerian PUPR Usai Pegawainya Terkena OTT KPK,"Menteri PUPR, Basuki Hadimuljono mengaku sedih dan terpukul mengetahui pejabat kementerian PUPR terkena OTT KPK. Begini Langkah Kementerian PUPR Usai Pegawainya Terkena OTT KPK"
25,Infrastuktur kerakyatan seperti rumah dan irigasi menjadi prioritas di 2019.,Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas di 2019,Infrastuktur kerakyatan seperti rumah dan irigasi menjadi prioritas di 2019. Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas di 2019
26,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR)  uji coba pembukaan lalu lintas (open traffic) Underpass Brigjen Katamso, Medan, Sumatera Utara",Underpass Brigjen Katamso Medan Siap Beroperasi pada 2019,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR)  uji coba pembukaan lalu lintas (open traffic) Underpass Brigjen Katamso, Medan, Sumatera Utara Underpass Brigjen Katamso Medan Siap Beroperasi pada 2019"
27,KPK melaporkan telah melakukan Operasi Tangkap Tangan (OTT) terhadap Pejabat Pembuat Komitmen (PPK) di Kementerian PUPR,"Pegawai Kena OTT, Menteri PUPR Serahkan Proses Hukum kepada KPK","KPK melaporkan telah melakukan Operasi Tangkap Tangan (OTT) terhadap Pejabat Pembuat Komitmen (PPK) di Kementerian PUPR Pegawai Kena OTT, Menteri PUPR Serahkan Proses Hukum kepada KPK"
28,"Menteri PUPR Basuki Hadimuljono  membeberkan, instansi yang dibawahinya memiliki ribuan pejabat pembuat komitmen (PPK) yang tersebar di seluruh penjuru Nusantara.","Anak Buah Tertangkap OTT KPK, Begini Respons Menteri PUPR","Menteri PUPR Basuki Hadimuljono  membeberkan, instansi yang dibawahinya memiliki ribuan pejabat pembuat komitmen (PPK) yang tersebar di seluruh penjuru Nusantara. Anak Buah Tertangkap OTT KPK, Begini Respons Menteri PUPR"
29,"Dia mengatakan, penangkapan kali ini diduga berkaitan dengan suap proyek sistem penjernihan air minum (SPAM) di Ditjen Cipta Karya tahun anggaran 2018.","OTT Pejabat Kementerian PUPR, KPK Sita Uang Singapura","Dia mengatakan, penangkapan kali ini diduga berkaitan dengan suap proyek sistem penjernihan air minum (SPAM) di Ditjen Cipta Karya tahun anggaran 2018. OTT Pejabat Kementerian PUPR, KPK Sita Uang Singapura"
30,"Kementerian PUPR akan kembali membangun berbagai fasilitas umum (fasum), fasilitas sosial (fasos) dan rumah warga di Banten dan Lampung Selatan","Dampak Tsunami Selat Sunda, Pemerintah Pakai APBN Perbaiki Fasilitas yang Rusak","Kementerian PUPR akan kembali membangun berbagai fasilitas umum (fasum), fasilitas sosial (fasos) dan rumah warga di Banten dan Lampung Selatan Dampak Tsunami Selat Sunda, Pemerintah Pakai APBN Perbaiki Fasilitas yang Rusak"
31,"Basuki mengatakan, sedikit kerusakan di lereng Tol Salatiga-Kartasura, tapi kini sudah diperbaiki.",Menteri PUPR Bantah Jalan Tol Salatiga-Kartasura Ambrol,"Basuki mengatakan, sedikit kerusakan di lereng Tol Salatiga-Kartasura, tapi kini sudah diperbaiki. Menteri PUPR Bantah Jalan Tol Salatiga-Kartasura Ambrol"
32,Politeknik PU ini akan diselenggarakan diselenggarakan di Universitas Diponegoro Semarang untuk cetak tenaga kerja berkompetensi tinggi.,Kementerian PUPR Gandeng Undip Dirikan Politeknik,Politeknik PU ini akan diselenggarakan diselenggarakan di Universitas Diponegoro Semarang untuk cetak tenaga kerja berkompetensi tinggi. Kementerian PUPR Gandeng Undip Dirikan Politeknik
33,Kementerian PUPR mendukung pengembangan kawasan-kawasan wisata di Indonesia menjadi lebih tertata rapi.,Kementerian PUPR Benahi Kawasan Wisata Potensial di Magelang,Kementerian PUPR mendukung pengembangan kawasan-kawasan wisata di Indonesia menjadi lebih tertata rapi. Kementerian PUPR Benahi Kawasan Wisata Potensial di Magelang
34,Bendungan Sukamahi dan Ciawi merupakan waduk bertipe dry dam.,"Hanya Terisi Saat Musim Hujan, 2 Bendungan Ini Bakal Kurangi Banjir di Jakarta","Bendungan Sukamahi dan Ciawi merupakan waduk bertipe dry dam. Hanya Terisi Saat Musim Hujan, 2 Bendungan Ini Bakal Kurangi Banjir di Jakarta"
35,Pembangunan Bendungan Sukamahi dan Ciawi diharapkan selesai Desember 2019.,"Biaya Pengadaan Lahan Bendungan Penahan Banjir Jakarta Capai Rp 1,45 Triliun","Pembangunan Bendungan Sukamahi dan Ciawi diharapkan selesai Desember 2019. Biaya Pengadaan Lahan Bendungan Penahan Banjir Jakarta Capai Rp 1,45 Triliun"
36,Adapun perkembangan Bendungan Sukamahi mencapai 50 persen dan Bendungan Ciawi baru sekitar 35 persen.,Pengerjaan Proyek 2 Bendungan Penahan Banjir Jakarta Terhambat Bangunan Vila,Adapun perkembangan Bendungan Sukamahi mencapai 50 persen dan Bendungan Ciawi baru sekitar 35 persen. Pengerjaan Proyek 2 Bendungan Penahan Banjir Jakarta Terhambat Bangunan Vila
37,Kementerian PUPR mendukung pengembangan kawasan pariwisata untuk peningkatan kesejahteraan masyarakat lokal.,"Tarik Turis, Kementerian PUPR Percantik Candi Mendut dan Tuk Budoyo","Kementerian PUPR mendukung pengembangan kawasan pariwisata untuk peningkatan kesejahteraan masyarakat lokal. Tarik Turis, Kementerian PUPR Percantik Candi Mendut dan Tuk Budoyo"
38,Kementerian PUPR laksanakan Perjanjian Kerjasama Operasional (PKO) dengan 25 Bank Pelaksana terkait KPR Sejahtera bagi Masyarakat Berpenghasilan Rendah (MBR).,"25 Bank Bakal Salurkan KPR FLPP Rp 7,1 Triliun di 2019","Kementerian PUPR laksanakan Perjanjian Kerjasama Operasional (PKO) dengan 25 Bank Pelaksana terkait KPR Sejahtera bagi Masyarakat Berpenghasilan Rendah (MBR). 25 Bank Bakal Salurkan KPR FLPP Rp 7,1 Triliun di 2019"
39,Menteri PUPR Basuki Hadimuljono mengatakan sejumlah alat berat sudah dikerahkan dan sebagian sudah bekerja membuka dan membersihkan jalan.,"Atasi Tsunami di Pandeglang dan Lampung, Kementerian PUPR Kerahkan Alat Berat","Menteri PUPR Basuki Hadimuljono mengatakan sejumlah alat berat sudah dikerahkan dan sebagian sudah bekerja membuka dan membersihkan jalan. Atasi Tsunami di Pandeglang dan Lampung, Kementerian PUPR Kerahkan Alat Berat"
40,Bank Pelaksana yang menandatangani PKO untuk 2019 merupakan 25 bank yang telah mencapai realisasi penyaluran FLPP 2018 minimal 100 unit,PUPR Gandeng 25 Bank Salurkan Dana Pembiayaan Perumahan di 2019,Bank Pelaksana yang menandatangani PKO untuk 2019 merupakan 25 bank yang telah mencapai realisasi penyaluran FLPP 2018 minimal 100 unit PUPR Gandeng 25 Bank Salurkan Dana Pembiayaan Perumahan di 2019
41,Program SBSN sangat membantu Kementerian PUPR dalam membangun infrastruktur di seluruh negeri.,"Proyek Kementerian PUPR Dapat Pembiayaan Lewat SBSN Rp 12,7 Triliun","Program SBSN sangat membantu Kementerian PUPR dalam membangun infrastruktur di seluruh negeri. Proyek Kementerian PUPR Dapat Pembiayaan Lewat SBSN Rp 12,7 Triliun"
42,"Adapun hingga akhir 2018 ini, Tol Trans Jawa telah tersambung dari Merak hingga Grati sepanjang 934 km.","Selama 4 Tahun, Kementerian PUPR Rampungkan 616 Km Tol Trans Jawa","Adapun hingga akhir 2018 ini, Tol Trans Jawa telah tersambung dari Merak hingga Grati sepanjang 934 km. Selama 4 Tahun, Kementerian PUPR Rampungkan 616 Km Tol Trans Jawa"
43,Pembangunan Bendungan Logung membutuhkan waktu sekitar 5 tahun yang dimulai Desember 2014 dengan nilai kontrak Rp 620 miliar.,"Mulai Terisi Air, Bendungan Logung Mampu Genangi 5.296 Ha Sawah","Pembangunan Bendungan Logung membutuhkan waktu sekitar 5 tahun yang dimulai Desember 2014 dengan nilai kontrak Rp 620 miliar. Mulai Terisi Air, Bendungan Logung Mampu Genangi 5.296 Ha Sawah"
44,Pembangunan 699 unit huntara ditargetkan rampung pada akhir Desember 2018.,Korban Gempa Palu Mulai Tempati Hunian Sementara,Pembangunan 699 unit huntara ditargetkan rampung pada akhir Desember 2018. Korban Gempa Palu Mulai Tempati Hunian Sementara
45,"Setelah jembatan darurat selesai, Kementerian PUPR melalui BPJN III Padang akan membangun jembatan bailey di samping jembatan darurat.",Jembatan Darurat Penghubung Padang-Bukittinggi Sudah Bisa Dilalui,"Setelah jembatan darurat selesai, Kementerian PUPR melalui BPJN III Padang akan membangun jembatan bailey di samping jembatan darurat. Jembatan Darurat Penghubung Padang-Bukittinggi Sudah Bisa Dilalui"
46,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) siap melaksanakan proses pengisian air atau impounding di Bendungan Logung,Bendungan Logung Siap Digenangi Air Mulai Besok,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) siap melaksanakan proses pengisian air atau impounding di Bendungan Logung Bendungan Logung Siap Digenangi Air Mulai Besok
47,Total biaya konstruksi kedua pembangunan jalan di Aceh tersebut sebesar Rp 272 miliar.,2 Jalan Baru Ini Bantu Urai Kemacetan di Banda Aceh,Total biaya konstruksi kedua pembangunan jalan di Aceh tersebut sebesar Rp 272 miliar. 2 Jalan Baru Ini Bantu Urai Kemacetan di Banda Aceh
48,"Pembangunan itu meliputi 20 sekolah permanen, Masjid At-Taqarrub, Institut Agama Islam Al-Aziziyah, Pasar Ule Glee dan RSUD.",Kementerian PUPR Rampungkan Rekonstruksi Fasilitas Umum dan Sosial di Aceh,"Pembangunan itu meliputi 20 sekolah permanen, Masjid At-Taqarrub, Institut Agama Islam Al-Aziziyah, Pasar Ule Glee dan RSUD. Kementerian PUPR Rampungkan Rekonstruksi Fasilitas Umum dan Sosial di Aceh"
49,"Kawasan yang berada di tepi Sungai Kreung Daroy memiliki luas 38,26 hektar, meliputi lima gampong/kelurahan",Seutui Jadi Contoh Kolaborasi Penataan Kawasan,"Kawasan yang berada di tepi Sungai Kreung Daroy memiliki luas 38,26 hektar, meliputi lima gampong/kelurahan Seutui Jadi Contoh Kolaborasi Penataan Kawasan"
50,Kementerian PUPR akan memulihkan lalu lintas di ruas jalan Padang-Bukittinggi dalam tiga tahap.,Ruas Padang-Bukittinggi Dapat Dilalui Satu Jalur Mulai Besok,Kementerian PUPR akan memulihkan lalu lintas di ruas jalan Padang-Bukittinggi dalam tiga tahap. Ruas Padang-Bukittinggi Dapat Dilalui Satu Jalur Mulai Besok
51,"Sebesar Rp 6,53 triliun dialokasikan untuk pembangunan prasarana pendidikan, dan Rp 32 miliar untuk peningkatan vokasi tenaga konstruksi.","Dana Pengembangan SDM Kementerian PUPR Capai Rp 6,65 Triliun","Sebesar Rp 6,53 triliun dialokasikan untuk pembangunan prasarana pendidikan, dan Rp 32 miliar untuk peningkatan vokasi tenaga konstruksi. Dana Pengembangan SDM Kementerian PUPR Capai Rp 6,65 Triliun"
52,Proyek SPAM Semarang Barat yang dibangun lewat skema Kerja sama Pemerintah Badan Usaha (KPBU) ini ditargetkan rampung dalam dua tahun.,Proyek SPAM Semarang Suplai Air Bersih bagi 420 Ribu Warga,Proyek SPAM Semarang Barat yang dibangun lewat skema Kerja sama Pemerintah Badan Usaha (KPBU) ini ditargetkan rampung dalam dua tahun. Proyek SPAM Semarang Suplai Air Bersih bagi 420 Ribu Warga
53,Kementerian PUPR saat ini membangun jembatan sementara sebagai pengganti Jembatan Batang Kalu,"Pulihkan Lalu Lintas Padang-Bukittinggi, Kementerian PUPR Bangun Jembatan Sementara","Kementerian PUPR saat ini membangun jembatan sementara sebagai pengganti Jembatan Batang Kalu Pulihkan Lalu Lintas Padang-Bukittinggi, Kementerian PUPR Bangun Jembatan Sementara"
54,Menteri PUPR Basuki Hadimuljono mengatakan pemberian penghargaan merupakan bentuk apresiasi kepada Pemerintah Daerah dan mitra kerja yang telah bekerja keras memberikan pelayanan kepada masyarakat.,17 Pemda Raih Penghargaan Layanan Infrastruktur Terbaik dari Kementerian PUPR,Menteri PUPR Basuki Hadimuljono mengatakan pemberian penghargaan merupakan bentuk apresiasi kepada Pemerintah Daerah dan mitra kerja yang telah bekerja keras memberikan pelayanan kepada masyarakat. 17 Pemda Raih Penghargaan Layanan Infrastruktur Terbaik dari Kementerian PUPR
55,Pembangunan Underpass Karangsawah terkontrak pada bulan Februari dan telah selesai pada tanggal 21 November 2018.,"Selain Urai Macet, Underpass Karangsawah Juga Kurangi Kecelakaan","Pembangunan Underpass Karangsawah terkontrak pada bulan Februari dan telah selesai pada tanggal 21 November 2018. Selain Urai Macet, Underpass Karangsawah Juga Kurangi Kecelakaan"
56,"Kerja sama Kementerian PUPR dengan 3 kontraktor memuliki nilai kontrak sebesar Rp 1,1 triliun dengan target penyelesaian Desember 2019.",Kementerian PUPR Gandeng 3 Kontraktor Pulihkan Infrastruktur NTB,"Kerja sama Kementerian PUPR dengan 3 kontraktor memuliki nilai kontrak sebesar Rp 1,1 triliun dengan target penyelesaian Desember 2019. Kementerian PUPR Gandeng 3 Kontraktor Pulihkan Infrastruktur NTB"
57,Arena Aquatic ini sendiri dilengkapi dengan fasilitas pool system sesuai standar Fédération Internationale de Natation (FINA),Kementerian PUPR Kucurkan Rp 401 Miliar untuk Bangun Arena Aquatic di Papua,Arena Aquatic ini sendiri dilengkapi dengan fasilitas pool system sesuai standar Fédération Internationale de Natation (FINA) Kementerian PUPR Kucurkan Rp 401 Miliar untuk Bangun Arena Aquatic di Papua
58,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR), Basuki Hadimuljono menegaskan, proyek pembangunan Jalan Trans Papua akan terus berlanjut.",Ada Penembakan Tak Surutkan Pengerjaan Proyek Trans Papua,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR), Basuki Hadimuljono menegaskan, proyek pembangunan Jalan Trans Papua akan terus berlanjut. Ada Penembakan Tak Surutkan Pengerjaan Proyek Trans Papua"
59,Skema KPBU-AP dapat membantu pemerintah untuk mengurangi gap pendanaan infrastruktur.,Proyek Trans Papua Bakal Pakai Skema Pembiayaan Baru,Skema KPBU-AP dapat membantu pemerintah untuk mengurangi gap pendanaan infrastruktur. Proyek Trans Papua Bakal Pakai Skema Pembiayaan Baru
60,Rusun bagi Aparatur Sipil Negara (ASN) diperuntukan bagi yang belum menikah maupun yang sudah berkeluarga.,Kementerian PUPR Gencar Bangun Rusun Buat Santri,Rusun bagi Aparatur Sipil Negara (ASN) diperuntukan bagi yang belum menikah maupun yang sudah berkeluarga. Kementerian PUPR Gencar Bangun Rusun Buat Santri
61,Kementerian PUPR menyatakan serah terima aset rumah khusus dan susun akan lebih meningkatkan kualitas pengelolaan kekayaan negara.,Kementerian PUPR Serah Terima Aset Rumah Khusus,Kementerian PUPR menyatakan serah terima aset rumah khusus dan susun akan lebih meningkatkan kualitas pengelolaan kekayaan negara. Kementerian PUPR Serah Terima Aset Rumah Khusus
62,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) memulai pembangunan Bendungan Sadawarna, di Kabupaten Subang, Jawa Barat.",Kementerian PUPR Mulai Bangun Bendungan Sadawarna di Subang,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) memulai pembangunan Bendungan Sadawarna, di Kabupaten Subang, Jawa Barat. Kementerian PUPR Mulai Bangun Bendungan Sadawarna di Subang"
63,Untuk penyaluran ke rumah-rumah warga akan dibangun Instalasi Pengolahan Air (IPA) dan jaringan distribusi utama oleh Ditjen Cipta Karya.,Kementerian PUPR Bangun Pipa Transmisi Air Baku di Merauke,Untuk penyaluran ke rumah-rumah warga akan dibangun Instalasi Pengolahan Air (IPA) dan jaringan distribusi utama oleh Ditjen Cipta Karya. Kementerian PUPR Bangun Pipa Transmisi Air Baku di Merauke
64,Pembagian zona kerja itu dimaksudkan untuk mengurai kepadatan lalu lintas di km 11-17 Tol Jakarta-Cikampek yang terbilang sudah mencapai level maksimum.,"Ada Proyek Besar, Kementerian PUPR Bagi 3 Zona Kerja di Tol Jakarta-Cikampek","Pembagian zona kerja itu dimaksudkan untuk mengurai kepadatan lalu lintas di km 11-17 Tol Jakarta-Cikampek yang terbilang sudah mencapai level maksimum. Ada Proyek Besar, Kementerian PUPR Bagi 3 Zona Kerja di Tol Jakarta-Cikampek"
65,Badan Peningkatan Penyelenggaraan Sistem Penyediaan Air Minum mengeluarkan hasil penilaian kinerja Perusahaan Daerah Air Minum (PDAM) pada 2018 ini terhadap 374 PDAM.,Kementerian PUPR Tingkatkan Jumlah PDAM Berkategori Sehat,Badan Peningkatan Penyelenggaraan Sistem Penyediaan Air Minum mengeluarkan hasil penilaian kinerja Perusahaan Daerah Air Minum (PDAM) pada 2018 ini terhadap 374 PDAM. Kementerian PUPR Tingkatkan Jumlah PDAM Berkategori Sehat
66,"Bendungan Mila di Kabupaten Dompu, Nusa Tenggara Barat (NTB) saat ini telah rampung.","Awal Desember 2018, Bendungan Mila Siap Digenangi Air","Bendungan Mila di Kabupaten Dompu, Nusa Tenggara Barat (NTB) saat ini telah rampung. Awal Desember 2018, Bendungan Mila Siap Digenangi Air"
67,Pemerintah telah menugaskan Perusahaan Daerah Air Minum (PDAM) untuk tidak banyak mengambil keuntungan bisnis.,Pemerintah Jamin Tarif Air Minum Maksimal 4 Persen UMP,Pemerintah telah menugaskan Perusahaan Daerah Air Minum (PDAM) untuk tidak banyak mengambil keuntungan bisnis. Pemerintah Jamin Tarif Air Minum Maksimal 4 Persen UMP
