Title;Description;Sentiment
CPNS 2017 Dikirim ke Lombok untuk Bangun Rumah;Kementerian PUPR mengirimkan 400 insinyur muda yang merupakan Calon Pegawai Negeri Sipil (CPNS) tahun 2017 untuk bangun rumah tahan gempa.;1
Pelatih Basket Korsel Kritik Wisma Atlet Kemayoran, Begini Reaksi Menteri Basuki;Wisma Atlet Kemayoran beberapa waktu mendapatkan keluhan dari salah satu kontingen atlet yang berlaga di Asian Games.;-1
Serapan Anggaran Kementerian PUPR Baru 38,1% hingga Agustus 2018;Berdasarkan data yang dimiliki oleh Kementerian PUPR hingga tanggal 6 Agustus 2018, realisasi keuangannya adalah 38,1%;0
Kumpulkan Seluruh Pegawai PUPR, Menteri Basuki Tanya Masalah Infrastruktur;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) menggelar acara rapat kerja terbatas (rakertas) di kantornya.;0
Rapat 7 Jam di DPR, Menteri Basuki Diminta Tambah Rest Area hingga Tol Baru;Komisi V Dewan Perwakilan Rakyat Republik Indonesia (DPR-RI) menggelar Rapat Kerja dengan Pemerintah;0
Runtuh, Proyek Jembatan Kali Kuto Dievaluasi;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) mengevaluasi pembangunan Jembatan Kali Kuto yang runtuh.;-1
PUPR Andalkan Kampus Jelaskan Pentingnya Infrastruktur ke Masyarakat;PUPR menggandeng 22 universitas dari seluruh Indonesia untuk mensosialisasikan kepada masyarakat dampak pembangunan infrastruktur.;0
Kementerian PUPR Kumpulkan 22 Petinggi Kampus, Jelaskan soal Infrastruktur;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) mengumpulkan 22 universitas dari seluruh Indonesia di kantornya.;0
Kementerian PUPR: 174 Jembatan dan 18 Flyover Dibangun Tahun Ini;Kementerian PUPR menargetkan bisa membangun 174 jembatan dengan total panjang 13.639 di tahun 2018 ini.;1
Wakil Wali Kota Mojokerto Diperiksa KPK Terkait Suap Pengalihan Anggaran PUPR;Juru Bicara KPK, Febri Diansyah mengatakan, Wakil Walkot Mojokerto Suyitno diperiksa untuk tersangka Masud Yunus, Wali Kota Mojokerto.;-1
Wih! Pejabat Kemenkeu, PUPR hingga Puluhan Bupati Bahas Proyek Air Minum;Kementerian Pekerjaan Umum dan Perumahaan Rakyat menggulirkan Program Hibah Air Minum Perkotaan 2018.;0
3.255 Tukang Bangunan hingga Mandor Dapat Sertifikat, Bakal Raih Bayaran Lebih Besar!;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) memberikan sertifikasi kepada 3.255 tenaga kerja konstruksi.;1
Alhamdulillah.. 3.255 Tenaga Kerja Tukang Bangunan Dapat Sertifikat;Kementerian PUPR menggandeng stakeholder konstruksi mensertifikasi sebanyak 3.255 tenaga kerja konstruksi secara serentak.;1
Genjot Pengembangan Suramadu, Potensi Investasi Swasta Capai Rp53 Triliun;PUPR tengah menerapkan pola pengembangan berbasis kewilayahan yang disebut dengan istilah Wilayah Pengembangan Strategis.;1
"Cerita Alih Anggaran PENS dan ""Tradisi"" Suap Berujung OTT KPK di Mojokerto";Tiga pimpinan DPRD dan Kadis PU Mojokerto ditangkap KPK terkait kasus alih anggaran pembangunan PENS.;-1
Siapa Sosok Berinisial H dan T yang Ditangkap KPK Bersama Pimpinan DPRD Mojokerto?;H dan T ikut terjaring OTT KPK di Mojokerto. Kadis PU dan pimpinan DPRD sudah tersangka, tapi H dan T masih saksi. Lalu, siapa sosok H dan T?;-1
